JGI_id,YALI0_id,glucose_1,glucose_2,glucose_3,glycerol_1,glycerol_2,glycerol_3,oleic_acid_1,oleic_acid_2,oleic_acid_3
jgi.p|Yarli1|67277,YALI0D06149g,230.39,230.17,220.1,499.39,426.82,627.51,72.15,47.93,58.8
jgi.p|Yarli1|67278,YALI0D06171g,149.98,168.98,163.73,345.35,373.4,455.03,154.43,122.45,143.31
jgi.p|Yarli1|67279,YALI0D06193g,15.66,15.53,16.59,30.97,26.25,36.78,37.81,24.04,28.54
jgi.p|Yarli1|67280,YALI0D06215g,154.84,152.05,163.51,188.65,167.59,201.45,141.15,118.09,133.63
jgi.p|Yarli1|67281,YALI0D06237g,38.38,38.73,41.15,44.75,52.42,48.08,48.34,52.33,50.25
jgi.p|Yarli1|67282,YALI0D06259g,49.69,55.59,55.65,48.72,45.18,53.75,29.92,23.56,29.04
jgi.p|Yarli1|67283,YALI0D06281g,249.77,240.81,283.29,284.46,239.97,245.05,239.37,154.82,224.5
jgi.p|Yarli1|67284,YALI0D06303g,390.14,383.43,366.35,313.97,299.79,300.56,590.89,529.55,562.61
jgi.p|Yarli1|67285,YALI0D06325g,152.66,149.3,216.85,163.23,177.07,173.12,152.57,218.56,151.68
jgi.p|Yarli1|67286,YALI0D06347g,18.2,22.44,21.33,38.38,45.28,52.1,48.17,44,46.38
jgi.p|Yarli1|67287,YALI0D06369g,0,0,0,0,0,0.13,0,0,0
jgi.p|Yarli1|67288,YALI0D06391g,4.69,4.64,6.26,8.75,11.9,12.61,21.93,11.01,20.38
jgi.p|Yarli1|67289,YALI0D06413g,36.03,36.54,38.03,50.25,48.29,48.74,46.78,39.75,45.66
jgi.p|Yarli1|67290,YALI0D06435g,28.72,30.11,36.16,54.57,54.01,56.95,43.72,41.83,37.9
jgi.p|Yarli1|67291,YALI0D06457g,368.63,356.77,349.43,237.06,212.03,228.04,190.81,234.27,218.97
jgi.p|Yarli1|67292,YALI0D06479g,250.72,299.84,287,360.18,386.15,422.94,308.58,270.26,296.84
jgi.p|Yarli1|67293,YALI0D06501g,6.02,10.53,8.92,26.45,27.72,19.32,60.01,23.79,35.65
jgi.p|Yarli1|67294,YALI0D06523g,103.7,107.79,112.07,172.32,166.11,182.68,230.39,127.54,215.05
jgi.p|Yarli1|67295,YALI0D06545g,172.29,185.64,177.9,261.16,275.14,250.95,297,216.51,273.34
jgi.p|Yarli1|67296,YALI0D06567g,29.57,30.77,35.26,24.39,24.5,27.17,27.74,30.47,24.7
jgi.p|Yarli1|67297,YALI0D06578g,42.57,47.44,49.4,63.74,57.98,59.79,33.91,38.16,39.26
jgi.p|Yarli1|67298,YALI0D06589g,76.52,75.98,70.4,98.6,86.68,89.1,53.29,39.08,48.49
jgi.p|Yarli1|67299,YALI0D06611g,70.15,66.92,73.35,78.54,62.44,89.26,73.9,50.73,69.6
jgi.p|Yarli1|67300,YALI0D06633g,0,0,0,0.3,0.19,0,0.33,0,0
jgi.p|Yarli1|67301,YALI0D06655g,6.99,13.26,13.93,10.16,12.02,11.81,17.08,15.07,12.95
jgi.p|Yarli1|67302,YALI0D06688g,338.22,345.78,307.81,469.97,391.37,362.61,1929.81,2941.27,2256.69
jgi.p|Yarli1|67303,YALI0D06710g,0,0.1,0,1.22,0.31,0.7,0.97,0.13,0.24
jgi.p|Yarli1|67304,YALI0D06732g,0.82,1.68,1.4,1.76,2.95,1.54,1.24,0.68,0.33
jgi.p|Yarli1|67305,YALI0D06754g,40.24,38.09,40.79,40.15,46.3,50.37,40.27,48.93,40.33
jgi.p|Yarli1|67306,YALI0D06776g,62.96,65.45,63.11,55.71,69.35,61.59,53.69,55.53,52.07
jgi.p|Yarli1|67307,YALI0D06798g,75.75,78.16,74.7,105.82,104.67,108.51,87.69,93.53,91.78
jgi.p|Yarli1|67308,YALI0D06820g,8.5,7.14,7.7,5.34,3.95,4.31,10.76,7.9,10.28
jgi.p|Yarli1|67309,YALI0D06842g,128.2,125.23,118.85,142.37,105.67,128.94,81.51,97.25,88.87
jgi.p|Yarli1|67310,YALI0D06864g,5.57,4.9,5.66,3.8,3.84,4.63,7.81,6.8,7.4
jgi.p|Yarli1|67311,YALI0D06886g,18.49,19.58,20.83,20.49,19.16,22.42,16.91,17.46,19.07
jgi.p|Yarli1|67312,YALI0D06908g,73.29,64.33,72.07,76.74,71.72,81.58,50.33,53.78,55.86
jgi.p|Yarli1|67313,YALI0D06930g,13.11,15.4,19.59,60.67,43.2,87.1,53.34,34.3,42.67
jgi.p|Yarli1|67314,YALI0D06952g,28.07,19.41,42.36,79.53,80.09,93.02,38.36,34.57,34.32
jgi.p|Yarli1|67315,YALI0D06974g,62.3,73.6,75.12,69.13,76.12,79.85,62.55,45.91,54.04
jgi.p|Yarli1|67316,YALI0D06996g,156.41,211.26,184.4,213.96,209.03,206.62,107.36,73.67,95.14
jgi.p|Yarli1|67317,YALI0D07018g,252.62,258.93,244.19,160.31,143.15,137.54,146.73,168.59,163.72
jgi.p|Yarli1|67318,YALI0D07040g,72.08,73.9,75.07,72.08,64.98,70.33,65.6,54.59,64.03
jgi.p|Yarli1|67319,YALI0D07062g,2.03,2.35,3.15,11.08,16.81,15.26,26.2,11.29,18.69
jgi.p|Yarli1|67320,YALI0D07084g,127.98,129.71,139.55,134.64,122.36,129.23,139.94,96.46,140.77
jgi.p|Yarli1|67321,YALI0D07106g,8.2,7.93,6.77,8.24,10.88,8.91,8.73,7.44,6.82
jgi.p|Yarli1|67322,YALI0D07128g,229.99,269.07,257.52,289.79,328.26,274.91,480.2,405.5,440.87
jgi.p|Yarli1|67323,YALI0D07150g,30.93,30.97,32.95,71.49,80.84,63.4,45.06,43.97,41.05
jgi.p|Yarli1|67324,YALI0D07194g,31.89,30.97,32.78,30.28,33.64,33.27,27.04,31.32,30.04
jgi.p|Yarli1|67325,YALI0D07216g,189.66,191.76,202.04,150.71,187.68,183.04,95.9,102.34,111.39
jgi.p|Yarli1|67326,YALI0D07238g,24.81,30.79,26.26,30.57,25.6,26.7,18.31,20.5,21.81
jgi.p|Yarli1|67327,YALI0D07260g,7.17,6.59,9.37,14.04,21.48,17.75,11.86,14.49,12.06
jgi.p|Yarli1|67328,YALI0D07282g,526.36,571.72,446.81,675.5,495.11,524.65,1960.5,2240.99,1907.75
jgi.p|Yarli1|67329,YALI0D07304g,2.12,2.51,1.42,42.14,9.02,20.98,456.29,369.59,416.39
jgi.p|Yarli1|67330,YALI0D07326g,169.44,152.29,151,90.79,85.23,73.57,64.94,80.97,70.84
